plot	id	n_fr	coll_fr	seeds_in_coll_fr	total_seeds
H01	H1	8	3	101	269,3333333333
H01	H5	4	2	53	106
H01	H7	3	2	70	105
H01	H8	4	2	75	150
H01	H12	4	4	141	141
H01	H13	4	4	126	126
H01	H19	50	4	156	1950
H01	H20	87	4	176	3828
H01	H21	NA	3	57	NA
H01	H23	4	3	60	80
H01	H24	7	3	99	231
H01	H26	29	4	126	913,5
H01	H28	NA	4	35	NA
H01	H30	4	3	93	124
H02	H31	2	2	44	44
H02	H32	7	3	66	154
H02	H34	NA	4	102	NA
H02	H37	NA	3	94	NA
H02	H38	NA	4	156	NA
H02	H41	67	4	214	3584,5
H02	H45	3	2	76	114
H02	H47	4	3	116	154,6666666667
H02	H48	14	4	119	416,5
H02	H49	19	4	71	337,25
H02	H50	2	2	80	80
H02	H52	6	3	32	64
H02	H53	7	4	79	138,25
H02	H54	5	2	68	170
H02	H55	3	2	65	97,5
H02	H56	25	4	147	918,75
H03	H61	76	4	180	3420
H03	H62	184	4	143	6578
H03	H63	530	4	132	17490
H03	H65	18	2	98	882
H03	H67	10	4	103	257,5
H03	H68	37	5	135	999
H03	H70	53	4	158	2093,5
H03	H73	NA	1	40	NA
H03	H74	275	4	102	7012,5
H03	H75	55	4	140	1925
H03	H76	NA	2	94	NA
H03	H78	37	4	142	1313,5
H03	H79	17	4	80	340
H03	H80	14	4	157	549,5
H03	H82	NA	3	141	NA
H03	H84	NA	4	105	NA
H03	H88	NA	4	113	NA
H03	H90	33	4	128	1056
H04	H91	4	2	24	48
H04	H92	2	2	68	68
H04	H93	31	4	125	968,75
H04	H96	NA	4	149	NA
H04	H99	3	3	107	107
H04	H400	9	4	159	357,75
H04	H401	NA	2	70	NA
H04	H402	NA	2	67	NA
H04	H403	33	3	111	1221
H04	H404	12	2	45	270
H04	H405	27	4	140	945
H04	H407	7	4	173	302,75
H04	H408	31	3	33	341
H04	H409	5	2	26	65
H04	H410	4	1	43	172
H04	H411	6	2	61	183
H04	H414	9	3	123	369
H04	H416	65	4	126	2047,5
H04	H418	4	3	64	85,3333333333
H05	H420	8	4	89	178
H05	H421	45	4	153	1721,25
H05	H422	60	4	145	2175
H05	H423	15	4	155	581,25
H05	H424	36	4	186	1674
H05	H425	26	4	188	1222
H05	H427	5	3	126	210
H05	H429	17	4	172	731
H05	H432	58	4	182	2639
H05	H433	33	4	161	1328,25
H05	H434	23	3	131	1004,3333333333
H05	H435	30	4	169	1267,5
H05	H437	5	3	35	58,3333333333
H05	H438	13	2	50	325
H05	H439	51	2	49	1249,5
H05	H440	10	2	50	250
H05	H441	11	2	76	418
H05	H442	NA	4	129	NA
H05	H443	NA	2	86	NA
H05	H446	5	2	35	87,5
H05	H448	21	5	264	1108,8
H05	H449	28	4	192	1344
H08	H317	11	3	115	421,6666666667
H08	H319	3	2	74	111
H08	H320	4	3	118	157,3333333333
H08	H322	2	2	32	32
H08	H323	16	4	163	652
H08	H333	4	4	113	113
H08	H335	NA	2	36	NA
H08	H336	2	2	59	59
H08	H337	19	4	172	817
H08	H338	6	3	54	108
H08	H340	11	4	131	360,25
H08	H341	36	4	155	1395
H08	H342	15	2	69	517,5
H08	H344	4	3	104	138,6666666667
H08	H345	23	4	153	879,75
H09	H346	1	0	NA	NA
H09	H347	3	3	124	124
H09	H349	4	3	71	94,6666666667
H09	H350	2	2	10	10
H09	H352	3	3	60	60
H09	H353	7	3	30	70
H09	H354	8	4	47	94
H09	H355	2	2	56	56
H09	H356	28	4	70	490
H09	H357	8	4	97	194
H09	H358	9	3	139	417
H09	H359	9	4	83	186,75
H09	H360	12	4	77	231
H09	H361	2	2	67	67
H09	H363	5	3	93	155
H09	H365	4	4	85	85
H09	H366	3	3	55	55
H09	H368	2	1	14	28
H09	H370	6	3	82	164
H09	H372	4	3	115	153,3333333333
H09	H373	3	3	42	42
H10	H378	8	3	65	173,3333333333
H10	H379	5	2	84	210
H10	H380	6	3	150	300
H10	H384	4	2	91	182
H10	H386	3	2	38	57
H10	H390	19	5	187	710,6
H10	H391	20	4	89	445
H10	H392	4	3	96	128
H10	H393	8	0	NA	NA
H10	H394	3	3	82	82
H10	H396	9	2	17	76,5
H10	H399	6	2	59	177
H10	H800	4	2	89	178
H10	H802	3	2	75	112,5
H10	H804	4	1	25	100
H13	H809	7	4	62	108,5
H13	H810	10	4	110	275
H13	H811	8	2	40	160
H13	H813	22	3	30	220
H13	H814	7	3	74	172,6666666667
H13	H815	119	4	54	1606,5
H13	H816	24	4	148	888
H13	H817	15	4	85	318,75
H13	H818	12	4	163	489
H13	H819	6	4	156	234
H13	H820	29	4	60	435
H13	H821	21	4	185	971,25
H13	H822	19	4	189	897,75
H13	H824	2	2	76	76
H13	H828	4	3	106	141,3333333333
H13	H829	32	4	149	1192
H13	H830	14	4	126	441
H13	H833	4	2	46	92
HC1	H834	4	3	138	184
HC1	H835	2	2	47	47
HC1	H837	43	7	290	1781,4285714286
HC1	H838	NA	1	34	NA
HC1	H839	82	8	360	3690
HC1	H840	11	2	83	456,5
HC1	H841	29	8	372	1348,5
HC1	H842	21	4	192	1008
HC1	H844	67	5	251	3363,4
HC1	H845	34	4	169	1436,5
HC1	H846	11	5	203	446,6
HC1	H847	26	4	186	1209
HC1	H848	NA	3	94	NA
HC1	H850	7	3	124	289,3333333333
HC1	H852	21	3	148	1036
HC1	H854	NA	1	33	NA
HC1	H858	20	4	152	760
HC1	H859	124	4	142	4402
HC1	H860	1	0	NA	NA
HC1	H863	3	2	56	84
HC2a	H864	2	1	24	48
HC2a	H866	6	2	69	207
HC2a	H869	NA	3	102	NA
HC2a	H870	3	2	48	72
HC2a	H871	6	4	126	189
HC2a	H872	9	3	96	288
HC2a	H873	4	3	65	86,6666666667
HC2a	H874	2	2	57	57
HC2a	H875	3	3	83	83
HC2a	H878	25	4	155	968,75
HC2a	H879	12	4	151	453
HC2a	H880	6	3	54	108
HC2a	H881	14	2	26	182
HC2a	H882	15	4	176	660
HC2a	H883	24	6	227	908
HC2a	H884	2	2	27	27
HC2a	H885	14	5	182	509,6
HC2b	H889	11	7	186	292,2857142857
HC2b	H891	NA	2	64	NA
HC2b	H892	17	4	136	578
HC4	H895	12	4	149	447
HC4	H896	NA	1	20	NA
HC4	H898	4	4	150	150
HC4	H899	2	2	40	40
HC4	H1100	5	4	150	187,5
HC4	H1101	44	8	382	2101
HC4	H1102	25	5	220	1100
HC4	H1103	9	3	118	354
HC4	H1106	1	1	14	14
HC4	H1107	7	4	165	288,75
HC4	H1108	3	3	105	105
HC4	H1109	6	3	131	262
HC4	H1110	4	2	88	176
HC4	H1111	12	4	173	519
HC4	H1113	NA	1	31	NA
HC4	H1115	1	1	16	16
HC4	H1116	NA	4	137	NA
HC4	H1117	14	4	177	619,5
HC4	H1118	14	4	149	521,5
HC4	H1119	17	6	167	473,1666666667
HC4	H1122	NA	3	109	NA
HC4	H1123	4	3	77	102,6666666667
HC5	H1124	3	2	57	85,5
HC5	H1125	1	1	43	43
HC5	H1129	2	1	29	58
HC5	H1130	4	4	112	112
HC5	H1133	16	3	106	565,3333333333
HC5	H1134	3	3	92	92
HC5	H1136	6	4	121	181,5
HC5	H1137	10	3	101	336,6666666667
HC5	H1138	3	3	112	112
HC5	H1140	3	2	68	102
HC5	H1142	2	2	48	48
HC5	H1144	13	4	176	572
HC5	H1147	9	2	66	297
HC5	H1148	1	1	30	30
HC5	H1149	3	2	68	102
HC5	H1151	19	4	161	764,75
HC5	H1153	5	2	34	85
HC6	H1154	10	4	168	420
HC6	H1155	3	3	92	92
HC6	H1156	9	2	71	319,5
HC6	H1158	7	4	193	337,75
HC6	H1162	8	2	57	228
HC6	H1168	3	2	71	106,5
HC6	H1169	2	2	70	70
HC6	H1171	17	4	145	616,25
HC6	H1172	4	3	74	98,6666666667
HC6	H1173	20	5	122	488
HC6	H1177	NA	1	17	NA
HC6	H1178	7	4	94	164,5
HC6	H1182	4	3	68	90,6666666667
HC6	H1183	5	2	44	110
